id_congestion,fecha,hora,distrito,avenida_via,condicion_clima,tipo_evento,vehiculo_predominante,velocidad_promedio,flujo_vehicular,congestion_score,tiempo_viaje
18,2026-11-17,1,Carabayllo,Av. Universitaria,Niebla,Ninguno,Moto,11.8,106,22.88,118
19,2026-12-29,21,Los Olivos,Av. Universitaria,Niebla,Obras Civiles,Particular,54.49,237,29.25,119
20,2026-10-30,0,Comas,Av. Universitaria,Despejado,Manifestacion,Moto,73.2,81,40.41,81
21,2027-05-06,7,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Moto,44.35,90,94.5,104
22,2026-05-24,5,Independencia,Av. Universitaria,Niebla,Ninguno,Moto,27.37,221,37.55,92
23,2026-08-06,15,Los Olivos,Av. Universitaria,Niebla,Manifestacion,Bus,25.57,400,74.02,30
24,2026-08-12,14,San Martin de Porres,Av. Universitaria,Despejado,Manifestacion,Moto,70.02,226,57.59,105
25,2027-04-14,17,Carabayllo,Av. Universitaria,Despejado,Accidente,Particular,78.12,199,80.69,90
26,2026-05-14,4,Comas,Av. Universitaria,Llovizna,Ninguno,Bus,24.91,53,37.96,117
27,2027-02-14,7,Carabayllo,Av. Universitaria,Niebla,Ninguno,Particular,65.99,222,75.64,113
28,2027-03-28,12,Los Olivos,Av. Universitaria,Niebla,Manifestacion,Particular,19.3,216,70.9,103
29,2027-04-01,6,San Martin de Porres,Av. Universitaria,Despejado,Obras Civiles,Camion,65.26,59,49.1,48
30,2026-04-28,16,Comas,Av. Universitaria,Despejado,Accidente,Bus,42.31,261,51.14,85
31,2026-09-25,8,San Martin de Porres,Av. Universitaria,Despejado,Manifestacion,Particular,34.98,459,78.71,6
32,2026-11-10,22,Puente Piedra,Av. Universitaria,Llovizna,Ninguno,Bus,64.49,451,39.19,20
33,2026-09-24,2,Independencia,Av. Universitaria,Llovizna,Ninguno,Moto,67.18,209,28.75,70
34,2026-09-15,23,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Moto,52.43,503,30.45,94
35,2026-11-02,10,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Moto,70.87,203,54.37,52
36,2026-10-08,9,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Bus,79.34,457,85.94,30
37,2026-05-20,0,Comas,Av. Universitaria,Despejado,Ninguno,Moto,60.48,235,49.15,36
38,2027-02-17,9,Independencia,Av. Universitaria,Niebla,Manifestacion,Moto,40.38,484,91.9,78
39,2026-12-27,18,Comas,Av. Universitaria,Despejado,Manifestacion,Moto,68.32,428,98.94,59
40,2026-09-09,7,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Particular,26.97,462,91.82,9
41,2026-06-02,2,Independencia,Av. Universitaria,Despejado,Accidente,Particular,21.76,505,39.28,118
42,2026-07-05,11,Comas,Av. Universitaria,Niebla,Ninguno,Particular,72.24,108,68.21,121
43,2027-04-03,23,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Particular,77.12,365,28.65,42
44,2026-10-02,10,Comas,Av. Universitaria,Niebla,Accidente,Bus,29.95,100,71.81,104
45,2027-04-27,21,San Martin de Porres,Av. Universitaria,Despejado,Ninguno,Particular,64.69,72,30.29,122
46,2026-11-16,11,San Martin de Porres,Av. Universitaria,Llovizna,Ninguno,Camion,27.53,448,65.35,56
47,2026-05-23,10,San Martin de Porres,Av. Universitaria,Niebla,Accidente,Particular,20.01,349,52.95,113
48,2026-01-08,5,San Martin de Porres,Av. Universitaria,Niebla,Accidente,Camion,74.94,227,36.59,19
49,2026-04-20,18,Los Olivos,Av. Universitaria,Llovizna,Obras Civiles,Moto,29.31,50,87.84,90
50,2026-07-31,8,Los Olivos,Av. Universitaria,Niebla,Manifestacion,Moto,51.03,449,80.41,65
51,2026-04-13,17,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Camion,19.18,502,86.76,80
52,2026-01-07,2,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Particular,44.49,334,39.94,83
53,2027-04-16,17,Los Olivos,Av. Universitaria,Despejado,Ninguno,Moto,77.31,544,76.68,28
54,2026-09-01,18,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Moto,69.62,323,87.26,58
55,2026-12-31,16,San Martin de Porres,Av. Universitaria,Llovizna,Obras Civiles,Particular,42.52,261,67.09,14
56,2026-01-08,22,San Martin de Porres,Av. Universitaria,Despejado,Accidente,Particular,58.1,164,49.85,107
57,2027-01-15,20,San Martin de Porres,Av. Universitaria,Llovizna,Accidente,Moto,22.18,532,23.88,84
58,2026-04-22,23,Independencia,Av. Universitaria,Despejado,Ninguno,Moto,21.52,143,35.01,35
59,2026-06-22,11,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Particular,45.23,509,63.86,19
60,2026-07-06,13,Los Olivos,Av. Universitaria,Despejado,Ninguno,Bus,37.4,365,57.06,109
61,2026-04-09,8,San Martin de Porres,Av. Universitaria,Llovizna,Accidente,Bus,68.4,279,75.36,73
62,2026-03-04,15,San Martin de Porres,Av. Universitaria,Despejado,Obras Civiles,Moto,30.89,483,53.8,119
63,2026-10-16,15,Comas,Av. Universitaria,Niebla,Accidente,Particular,42.38,243,74.16,91
64,2026-06-01,15,San Martin de Porres,Av. Universitaria,Despejado,Obras Civiles,Camion,33.91,142,60.95,47
65,2026-04-11,5,San Martin de Porres,Av. Universitaria,Llovizna,Obras Civiles,Moto,58.2,526,47.55,50
66,2026-03-04,13,Comas,Av. Universitaria,Niebla,Manifestacion,Moto,55.15,496,60.89,7
67,2026-02-25,15,San Martin de Porres,Av. Universitaria,Niebla,Accidente,Moto,63.29,510,71.03,86
68,2026-06-20,21,Los Olivos,Av. Universitaria,Despejado,Ninguno,Moto,55.24,384,38.53,73
69,2027-03-10,8,Puente Piedra,Av. Universitaria,Niebla,Obras Civiles,Bus,40.23,462,90.33,122
70,2026-08-29,21,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Bus,34.38,173,24.51,117
71,2026-12-04,8,Independencia,Av. Universitaria,Niebla,Accidente,Moto,57.14,502,89.18,13
72,2026-11-02,23,San Martin de Porres,Av. Universitaria,Llovizna,Ninguno,Particular,34.55,82,24.07,94
73,2026-06-18,3,Puente Piedra,Av. Universitaria,Llovizna,Ninguno,Particular,15.02,220,24.37,46
74,2026-11-28,2,Comas,Av. Universitaria,Llovizna,Obras Civiles,Moto,52.43,325,44.06,37
75,2026-06-13,13,Independencia,Av. Universitaria,Niebla,Accidente,Moto,57.88,297,56.07,6
76,2026-10-21,7,Carabayllo,Av. Universitaria,Niebla,Accidente,Moto,32.91,542,88.15,92
77,2027-02-13,15,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Particular,65.34,235,58.98,108
78,2026-02-13,18,San Martin de Porres,Av. Universitaria,Llovizna,Ninguno,Moto,78.25,520,84.06,92
79,2026-02-11,18,San Martin de Porres,Av. Universitaria,Llovizna,Ninguno,Camion,58.84,184,98.87,114
80,2026-03-29,8,Los Olivos,Av. Universitaria,Niebla,Obras Civiles,Particular,44.31,76,81.44,43
81,2026-02-03,16,Los Olivos,Av. Universitaria,Niebla,Manifestacion,Camion,11.41,515,72.66,100
82,2027-01-05,14,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Particular,54.25,237,60.07,38
83,2026-03-10,3,Independencia,Av. Universitaria,Despejado,Accidente,Camion,64.97,287,30.09,65
84,2026-12-25,5,Carabayllo,Av. Universitaria,Despejado,Accidente,Moto,64.93,98,42.01,31
85,2026-04-17,7,Los Olivos,Av. Universitaria,Llovizna,Ninguno,Particular,38.06,192,79.24,26
86,2026-04-28,13,Los Olivos,Av. Universitaria,Llovizna,Obras Civiles,Particular,22.24,200,53.16,112
87,2027-05-07,4,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Bus,22.85,314,25.64,18
88,2027-01-14,20,San Martin de Porres,Av. Universitaria,Despejado,Manifestacion,Moto,71.04,529,28.08,91
89,2026-10-31,4,Carabayllo,Av. Universitaria,Niebla,Manifestacion,Moto,43.29,119,23.77,8
90,2026-07-05,7,Puente Piedra,Av. Universitaria,Despejado,Accidente,Moto,16.61,315,81.22,6
91,2026-08-21,10,San Martin de Porres,Av. Universitaria,Llovizna,Ninguno,Particular,23.19,373,65.24,50
92,2027-04-29,17,Carabayllo,Av. Universitaria,Despejado,Obras Civiles,Moto,30.56,511,98.3,67
93,2026-03-22,16,Los Olivos,Av. Universitaria,Despejado,Ninguno,Moto,39.76,326,71.61,44
94,2027-04-27,9,Carabayllo,Av. Universitaria,Despejado,Obras Civiles,Moto,36.63,159,96.41,108
95,2027-01-25,22,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Moto,67.2,285,33.14,22
96,2027-03-02,20,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Moto,25.13,257,22.17,69
97,2027-05-06,9,Independencia,Av. Universitaria,Niebla,Accidente,Moto,30.37,166,79.96,50
98,2026-04-20,22,Los Olivos,Av. Universitaria,Niebla,Manifestacion,Particular,73.05,462,48.35,64
99,2026-05-21,10,Comas,Av. Universitaria,Despejado,Obras Civiles,Particular,77.96,398,57.2,104
100,2026-01-24,6,Comas,Av. Universitaria,Niebla,Obras Civiles,Particular,59.81,251,33.2,15
101,2026-10-08,18,San Martin de Porres,Av. Universitaria,Despejado,Manifestacion,Bus,68.99,527,76.82,101
102,2026-05-05,5,Los Olivos,Av. Universitaria,Niebla,Ninguno,Particular,71.66,109,21.25,117
103,2026-07-20,16,Los Olivos,Av. Universitaria,Despejado,Ninguno,Particular,39.66,146,52.89,103
104,2026-10-22,5,Comas,Av. Universitaria,Niebla,Ninguno,Moto,67.96,111,31.45,22
105,2027-04-28,10,Comas,Av. Universitaria,Niebla,Manifestacion,Moto,77.59,221,73.72,41
106,2027-03-16,13,Los Olivos,Av. Universitaria,Despejado,Ninguno,Particular,10.08,380,60.6,105
107,2026-02-04,2,Los Olivos,Av. Universitaria,Niebla,Ninguno,Particular,13.87,406,44.07,63
108,2027-03-12,10,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Particular,56.62,277,71.13,78
109,2027-04-24,3,Puente Piedra,Av. Universitaria,Llovizna,Manifestacion,Bus,76.54,386,45.41,111
110,2026-08-13,17,Comas,Av. Universitaria,Niebla,Accidente,Camion,69.51,110,99.28,5
111,2027-04-24,21,Carabayllo,Av. Universitaria,Niebla,Obras Civiles,Particular,16.82,429,30.71,41
112,2026-05-14,20,San Martin de Porres,Av. Universitaria,Niebla,Accidente,Camion,49.77,514,26.94,41
113,2027-03-13,2,Independencia,Av. Universitaria,Despejado,Ninguno,Moto,11.67,539,22.31,22
114,2026-09-30,2,Comas,Av. Universitaria,Llovizna,Obras Civiles,Moto,79.31,443,46.21,10
115,2027-02-11,19,San Martin de Porres,Av. Universitaria,Despejado,Accidente,Moto,59.81,242,79.28,104
116,2026-08-10,14,Los Olivos,Av. Universitaria,Llovizna,Obras Civiles,Particular,33.4,251,58.8,19
117,2027-03-28,22,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Moto,50.4,340,45.5,103
118,2026-12-30,13,San Martin de Porres,Av. Universitaria,Despejado,Ninguno,Moto,48.81,176,51.61,69
119,2026-08-21,3,San Martin de Porres,Av. Universitaria,Despejado,Ninguno,Particular,64.85,377,22.58,45
120,2026-06-05,1,Puente Piedra,Av. Universitaria,Niebla,Ninguno,Bus,26.45,264,23.58,72
121,2026-04-18,9,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Moto,72.46,139,96.0,8
122,2027-03-11,9,Puente Piedra,Av. Universitaria,Niebla,Accidente,Moto,55.19,479,78.48,87
123,2026-09-04,7,San Martin de Porres,Av. Universitaria,Despejado,Ninguno,Moto,19.12,75,90.8,11
124,2026-01-05,9,San Martin de Porres,Av. Universitaria,Despejado,Obras Civiles,Moto,22.52,217,93.16,72
125,2026-02-17,18,San Martin de Porres,Av. Universitaria,Despejado,Obras Civiles,Camion,26.32,385,82.0,78
126,2027-02-26,22,Comas,Av. Universitaria,Llovizna,Obras Civiles,Bus,69.77,352,48.59,67
127,2027-04-13,20,Los Olivos,Av. Universitaria,Llovizna,Ninguno,Particular,44.33,126,44.56,103
128,2026-10-14,0,Los Olivos,Av. Universitaria,Despejado,Ninguno,Moto,48.03,156,47.78,28
129,2026-05-09,5,Independencia,Av. Universitaria,Niebla,Ninguno,Moto,59.65,139,46.62,23
130,2026-09-30,2,Los Olivos,Av. Universitaria,Despejado,Obras Civiles,Moto,48.2,376,39.25,77
131,2027-02-12,2,Independencia,Av. Universitaria,Llovizna,Ninguno,Moto,79.53,257,24.14,100
132,2027-05-16,9,Los Olivos,Av. Universitaria,Niebla,Accidente,Moto,34.34,81,94.89,6
133,2026-01-07,7,San Martin de Porres,Av. Universitaria,Despejado,Accidente,Bus,30.87,203,91.16,60
134,2026-02-23,8,Los Olivos,Av. Universitaria,Niebla,Accidente,Particular,51.2,268,97.91,120
135,2026-07-19,5,Independencia,Av. Universitaria,Niebla,Accidente,Moto,52.28,69,35.37,56
136,2027-04-19,17,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Bus,35.39,123,81.6,89
137,2027-04-14,22,Independencia,Av. Universitaria,Despejado,Ninguno,Moto,68.28,542,23.81,45
138,2027-01-31,16,Los Olivos,Av. Universitaria,Despejado,Obras Civiles,Moto,45.86,463,53.35,29
139,2027-03-06,16,Comas,Av. Universitaria,Niebla,Ninguno,Moto,21.05,300,71.82,61
140,2027-03-21,20,San Martin de Porres,Av. Universitaria,Llovizna,Ninguno,Moto,50.06,273,33.05,64
141,2026-12-13,23,Carabayllo,Av. Universitaria,Niebla,Manifestacion,Moto,66.09,438,42.23,56
142,2027-03-15,18,Comas,Av. Universitaria,Despejado,Ninguno,Particular,71.86,338,93.21,68
143,2026-07-10,23,Independencia,Av. Universitaria,Llovizna,Accidente,Moto,65.97,500,43.2,104
144,2026-04-08,0,San Martin de Porres,Av. Universitaria,Llovizna,Accidente,Bus,17.56,64,31.91,79
145,2027-01-21,2,San Martin de Porres,Av. Universitaria,Niebla,Accidente,Moto,39.28,391,32.25,107
146,2026-10-16,18,Carabayllo,Av. Universitaria,Niebla,Accidente,Particular,47.93,537,91.74,72
147,2026-09-21,9,Los Olivos,Av. Universitaria,Despejado,Manifestacion,Moto,19.61,83,92.96,23
148,2026-05-17,18,Los Olivos,Av. Universitaria,Llovizna,Ninguno,Bus,64.11,331,76.56,42
149,2027-01-02,13,San Martin de Porres,Av. Universitaria,Despejado,Ninguno,Moto,34.69,485,64.51,45
150,2026-12-05,18,San Martin de Porres,Av. Universitaria,Niebla,Manifestacion,Camion,63.19,161,79.32,102
151,2027-01-03,9,Carabayllo,Av. Universitaria,Niebla,Ninguno,Particular,34.89,112,83.03,121
152,2026-05-09,12,Puente Piedra,Av. Universitaria,Despejado,Ninguno,Bus,65.03,140,51.78,8
153,2027-01-03,1,San Martin de Porres,Av. Universitaria,Despejado,Obras Civiles,Moto,29.32,236,25.41,32
154,2027-05-02,17,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Moto,34.09,116,97.43,23
155,2026-11-01,8,San Martin de Porres,Av. Universitaria,Despejado,Ninguno,Bus,40.91,215,84.15,119
156,2026-06-26,8,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Moto,67.41,470,75.2,97
157,2026-05-21,14,Los Olivos,Av. Universitaria,Despejado,Obras Civiles,Moto,61.66,223,57.0,57
158,2027-05-16,19,San Martin de Porres,Av. Universitaria,Llovizna,Ninguno,Moto,52.29,391,96.63,114
159,2026-04-30,4,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Moto,46.86,107,49.33,80
160,2026-06-04,0,Comas,Av. Universitaria,Llovizna,Accidente,Camion,48.26,461,25.34,92
161,2026-04-02,15,San Martin de Porres,Av. Universitaria,Despejado,Accidente,Particular,44.0,298,60.12,81
162,2027-05-06,23,San Martin de Porres,Av. Universitaria,Despejado,Ninguno,Particular,66.0,470,23.13,46
163,2027-04-25,19,San Martin de Porres,Av. Universitaria,Despejado,Ninguno,Bus,49.18,504,78.58,48
164,2027-03-10,6,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Particular,39.96,89,32.07,118
165,2027-01-08,8,Independencia,Av. Universitaria,Despejado,Ninguno,Camion,75.34,93,78.94,54
166,2026-12-10,17,Independencia,Av. Universitaria,Niebla,Ninguno,Moto,54.93,143,96.91,116
167,2026-01-18,7,Los Olivos,Av. Universitaria,Despejado,Accidente,Bus,44.06,62,94.65,72
168,2026-08-15,2,Carabayllo,Av. Universitaria,Niebla,Accidente,Moto,72.68,72,31.47,90
169,2026-03-23,19,Los Olivos,Av. Universitaria,Niebla,Accidente,Moto,16.83,59,76.0,110
170,2026-11-09,7,Comas,Av. Universitaria,Niebla,Accidente,Bus,41.39,363,93.27,15
171,2026-11-25,7,San Martin de Porres,Av. Universitaria,Niebla,Accidente,Bus,40.77,224,83.43,62
172,2026-03-27,7,Los Olivos,Av. Universitaria,Llovizna,Accidente,Particular,46.06,50,81.98,116
173,2026-02-10,9,Comas,Av. Universitaria,Niebla,Obras Civiles,Camion,44.65,174,80.05,64
174,2027-05-16,4,Independencia,Av. Universitaria,Despejado,Accidente,Particular,64.09,125,21.27,87
175,2027-01-07,17,Puente Piedra,Av. Universitaria,Despejado,Manifestacion,Bus,48.47,364,87.97,106
176,2026-10-24,4,Puente Piedra,Av. Universitaria,Niebla,Accidente,Bus,70.84,102,32.87,47
177,2026-12-22,9,San Martin de Porres,Av. Universitaria,Despejado,Manifestacion,Moto,66.59,107,79.26,106
178,2026-08-17,16,Carabayllo,Av. Universitaria,Niebla,Accidente,Moto,70.5,302,55.32,122
179,2026-03-16,19,San Martin de Porres,Av. Universitaria,Despejado,Accidente,Particular,57.03,408,85.23,60
180,2026-07-26,9,Puente Piedra,Av. Universitaria,Llovizna,Accidente,Bus,69.42,549,85.01,121
181,2026-01-19,7,Independencia,Av. Universitaria,Llovizna,Accidente,Moto,10.79,238,92.19,5
182,2026-08-28,19,Los Olivos,Av. Universitaria,Niebla,Obras Civiles,Bus,24.68,362,83.75,93
183,2027-02-01,18,San Martin de Porres,Av. Universitaria,Llovizna,Ninguno,Particular,46.9,196,95.15,78
184,2027-04-03,20,Comas,Av. Universitaria,Despejado,Ninguno,Moto,77.69,231,28.87,95
185,2026-09-08,9,Puente Piedra,Av. Universitaria,Niebla,Ninguno,Particular,56.94,358,98.03,43
186,2027-01-09,11,Los Olivos,Av. Universitaria,Despejado,Ninguno,Moto,22.64,220,61.44,19
187,2026-05-11,17,Comas,Av. Universitaria,Llovizna,Ninguno,Camion,76.17,106,90.83,8
188,2026-08-14,16,Comas,Av. Universitaria,Llovizna,Ninguno,Particular,54.81,394,58.1,28
189,2026-05-12,12,Puente Piedra,Av. Universitaria,Llovizna,Ninguno,Particular,64.56,126,69.56,82
190,2026-07-12,1,Puente Piedra,Av. Universitaria,Despejado,Ninguno,Particular,55.65,474,49.03,37
191,2026-05-31,3,Carabayllo,Av. Universitaria,Despejado,Obras Civiles,Particular,76.75,217,35.96,40
192,2026-10-22,4,Los Olivos,Av. Universitaria,Niebla,Ninguno,Moto,58.92,522,22.67,50
193,2026-03-30,17,Carabayllo,Av. Universitaria,Niebla,Accidente,Bus,34.57,299,75.04,121
194,2026-09-14,20,Carabayllo,Av. Universitaria,Llovizna,Obras Civiles,Particular,46.09,430,28.68,86
195,2026-10-16,15,Puente Piedra,Av. Universitaria,Llovizna,Obras Civiles,Particular,10.47,300,54.9,83
196,2026-11-11,20,Carabayllo,Av. Universitaria,Despejado,Ninguno,Particular,44.94,534,29.11,17
197,2026-08-18,11,San Martin de Porres,Av. Universitaria,Despejado,Manifestacion,Bus,18.76,189,61.7,62
198,2026-03-16,13,San Martin de Porres,Av. Universitaria,Llovizna,Accidente,Camion,79.96,99,58.71,12
199,2026-05-15,13,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Moto,59.79,461,74.47,53
200,2027-01-07,15,Comas,Av. Universitaria,Despejado,Ninguno,Bus,79.17,337,63.94,122
201,2026-08-27,16,Los Olivos,Av. Universitaria,Niebla,Obras Civiles,Moto,64.45,240,62.81,99
202,2026-03-03,21,Carabayllo,Av. Universitaria,Llovizna,Manifestacion,Moto,63.01,537,43.76,99
203,2026-09-23,9,San Martin de Porres,Av. Universitaria,Llovizna,Obras Civiles,Particular,56.05,423,86.35,26
204,2026-05-05,20,Los Olivos,Av. Universitaria,Despejado,Ninguno,Moto,75.87,411,41.42,26
205,2026-11-24,18,Comas,Av. Universitaria,Niebla,Accidente,Particular,78.71,77,99.39,114
206,2027-04-09,20,Los Olivos,Av. Universitaria,Niebla,Ninguno,Particular,10.69,331,39.2,21
207,2027-04-27,7,Carabayllo,Av. Universitaria,Niebla,Ninguno,Moto,11.15,234,84.55,15
208,2026-10-10,12,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Moto,31.55,346,56.46,62
209,2026-11-24,20,Comas,Av. Universitaria,Despejado,Ninguno,Moto,29.04,543,35.47,101
210,2027-02-09,8,Los Olivos,Av. Universitaria,Despejado,Ninguno,Moto,53.09,475,90.94,91
211,2027-01-08,8,San Martin de Porres,Av. Universitaria,Niebla,Accidente,Bus,36.7,512,83.7,42
212,2026-04-06,13,Comas,Av. Universitaria,Despejado,Obras Civiles,Moto,41.54,105,73.97,94
213,2027-02-13,15,Los Olivos,Av. Universitaria,Despejado,Accidente,Moto,53.79,318,51.52,110
214,2026-07-23,16,Puente Piedra,Av. Universitaria,Llovizna,Accidente,Particular,21.69,73,55.23,112
215,2026-05-10,14,San Martin de Porres,Av. Universitaria,Llovizna,Obras Civiles,Bus,36.98,507,71.18,115
216,2027-03-20,7,Carabayllo,Av. Universitaria,Llovizna,Accidente,Bus,11.82,246,75.61,96
217,2026-12-19,20,Comas,Av. Universitaria,Niebla,Accidente,Moto,56.37,67,28.8,6
218,2026-11-18,12,San Martin de Porres,Av. Universitaria,Niebla,Accidente,Particular,40.32,452,67.21,91
219,2027-01-29,15,Los Olivos,Av. Universitaria,Niebla,Accidente,Moto,13.75,279,56.09,46
220,2026-05-25,8,San Martin de Porres,Av. Universitaria,Niebla,Accidente,Moto,23.83,415,93.68,106
221,2026-07-18,18,Los Olivos,Av. Universitaria,Niebla,Ninguno,Moto,66.29,372,96.93,45
222,2026-02-21,13,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Camion,43.29,142,67.77,68
223,2026-10-04,11,Puente Piedra,Av. Universitaria,Despejado,Ninguno,Moto,32.13,369,54.97,9
224,2026-08-11,1,Puente Piedra,Av. Universitaria,Llovizna,Accidente,Moto,66.42,287,33.54,86
225,2027-02-01,17,Comas,Av. Universitaria,Niebla,Manifestacion,Bus,63.96,52,77.47,46
226,2026-02-03,9,Comas,Av. Universitaria,Despejado,Ninguno,Moto,73.87,239,85.83,100
227,2026-02-21,3,San Martin de Porres,Av. Universitaria,Niebla,Manifestacion,Moto,69.96,234,44.02,91
228,2027-02-14,9,Carabayllo,Av. Universitaria,Niebla,Ninguno,Camion,63.57,315,99.66,28
229,2026-08-31,10,San Martin de Porres,Av. Universitaria,Niebla,Accidente,Camion,69.03,149,62.92,32
230,2026-12-03,1,San Martin de Porres,Av. Universitaria,Niebla,Manifestacion,Moto,64.87,401,27.75,11
231,2026-09-10,18,Puente Piedra,Av. Universitaria,Niebla,Obras Civiles,Bus,10.8,416,81.8,86
232,2026-09-10,17,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Moto,74.14,512,85.14,34
233,2026-11-27,21,Comas,Av. Universitaria,Niebla,Manifestacion,Moto,15.93,384,33.55,26
234,2027-05-13,15,San Martin de Porres,Av. Universitaria,Despejado,Accidente,Moto,15.12,331,54.62,108
235,2026-08-19,19,San Martin de Porres,Av. Universitaria,Llovizna,Ninguno,Moto,43.02,187,75.03,42
236,2026-03-10,12,Los Olivos,Av. Universitaria,Niebla,Ninguno,Bus,15.96,386,67.92,29
237,2026-09-10,7,Independencia,Av. Universitaria,Niebla,Ninguno,Moto,38.22,274,97.04,97
238,2026-01-07,4,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Particular,79.93,201,35.38,48
239,2026-11-18,13,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Particular,50.9,467,74.38,35
240,2026-01-15,9,Independencia,Av. Universitaria,Despejado,Accidente,Camion,75.71,212,91.23,68
241,2026-02-26,15,Los Olivos,Av. Universitaria,Niebla,Ninguno,Particular,67.07,358,69.16,18
242,2026-01-25,22,San Martin de Porres,Av. Universitaria,Niebla,Accidente,Camion,27.83,309,41.95,107
243,2026-02-23,13,San Martin de Porres,Av. Universitaria,Niebla,Accidente,Moto,14.45,393,56.68,34
244,2026-11-28,17,Puente Piedra,Av. Universitaria,Niebla,Accidente,Moto,21.96,197,94.21,25
245,2027-03-26,6,Los Olivos,Av. Universitaria,Llovizna,Ninguno,Camion,71.96,365,24.13,103
246,2026-02-08,23,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Camion,10.02,220,39.31,105
247,2026-06-12,9,San Martin de Porres,Av. Universitaria,Despejado,Ninguno,Particular,50.45,545,86.37,6
248,2026-04-13,11,San Martin de Porres,Av. Universitaria,Llovizna,Accidente,Moto,34.57,399,69.43,47
249,2027-01-08,9,Carabayllo,Av. Universitaria,Despejado,Accidente,Particular,74.29,202,97.23,101
250,2026-05-07,16,San Martin de Porres,Av. Universitaria,Llovizna,Ninguno,Moto,48.65,377,66.19,111
251,2026-08-13,22,San Martin de Porres,Av. Universitaria,Despejado,Accidente,Moto,26.9,180,49.6,13
252,2026-02-28,13,San Martin de Porres,Av. Universitaria,Despejado,Ninguno,Camion,62.43,116,53.58,95
